yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
7.962083333,8.095833333,11.63875,8.46875,9.180416667,9.245,10.89833333,9.3325,9.504166667,13.32791667,6.12,7.02,3.2,8.71,5.91,7.07,7.25,8.7,7.87,6.75,9.64,1.49,8.76,15.78,13.91,12.26,10.24,12.02,13.86,12.25,11.38,15.11,13.38,29-Jun,8.21,11.86
8.477083333,10.19666667,8.832916667,10.33375,9.022916667,8.32375,9.36125,8.162083333,9.682916667,10.45291667,9.5475,6.82,6.13,6.8,6.25,6.59,5.15,7.47,4.04,7.49,8.05,3.92,10.84,15.76,11.21,15.41,11.71,11.96,10.34,11.23,12.13,12.74,13.83,30-Jun,8.21,11.86
9.165833333,10.04041667,7.620416667,12.935,10.4425,10.335,10.05041667,5.600416667,7.577083333,10.56416667,12.75125,7.7,6.95,5.79,10.97,9.01,8.05,7.37,0.96,4.19,9.39,9.83,11.27,15.68,9.34,15.31,12.12,13.3,12,11.79,12.63,12.49,15.87,1-Jul,8.21,11.86
9.03875,11.19833333,9.502916667,13.50541667,11.17666667,9.651666667,11.81416667,5.630416667,6.785833333,10.56041667,11.03291667,7.31,7.42,8.65,11.34,9.49,7.45,10.1,1.46,1.85,8.43,9.01,11.73,15.18,11.19,16.64,14.45,11.12,14.34,12.36,12.94,14.03,13.71,2-Jul,8.21,11.86
9.452083333,11.81875,9.6425,11.53125,9.178333333,7.725833333,11.82166667,8.415,10.57583333,9.92,7.993333333,7.7,10.31,8.52,8.91,7.1,5.63,10.14,4.53,6.6,7.81,7.11,11.82,12.81,11.86,15.18,11.96,10.26,14.22,11.74,13.71,12.44,9,3-Jul,8.21,11.86
9.102083333,11.04333333,8.74875,11.95208333,10.07541667,8.600416667,10.38375,11.53083333,13.01833333,8.225833333,9.390416667,7.44,9.65,6.48,9.81,8.07,7.35,9.02,9.52,10.9,5.71,6.58,11.59,13.44,11.35,14.36,12.1,9.85,11.67,14.24,15.42,12.13,12.35,4-Jul,8.21,11.86
7.380416667,9.621666667,7.587916667,10.43125,11.1225,10.1925,9.658333333,10.54083333,14.57,8.225,10.42666667,4.81,8.68,4.79,8.42,10.06,8.72,8.13,8.24,12.53,3.73,9.29,11.65,10.73,11.93,12.28,12.94,13.07,11.1,12.93,16.33,15.04,12.27,5-Jul,8.21,11.86
7.192916667,10.11375,7.940833333,10.29125,10.29333333,9.204166667,11.6325,8.69625,12.2925,10.14791667,10.25,4.52,8.62,6.04,7.88,8.74,8.44,11.1,5.52,10.47,5.6,8.66,11.53,12.15,11.51,12.88,12.06,10.67,12.09,12.83,15.85,16.59,12.11,6-Jul,8.21,11.86
8.297916667,8.370833333,5.843333333,8.487916667,10.14833333,9.267083333,11.09291667,9.235416667,9.986666667,11.60916667,9.67,4.91,6.54,2.21,5.69,7.97,5.85,9.91,7.15,9.09,7.81,7.12,12.02,10.36,12.31,11.8,13.06,12.9,12.19,12.76,10.93,15.35,11.79,7-Jul,8.21,11.86
8.4125,9.30125,6.83,7.882083333,11.53583333,8.065833333,10.13291667,8.624583333,10.85958333,11.57625,7.93125,5.86,8.13,1.66,4.72,9.42,3.21,8.08,5.97,9.88,9.69,4.97,12.07,11.11,13.06,12.03,13.93,13.47,13.3,11.89,12.57,13.62,13.04,8-Jul,8.21,11.86
