yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
18.5325,11.53875,10.71541667,16.23791667,15.51375,12.40541667,10.98875,13.47708333,14.18583333,12.94583333,14.84166667,15.95,9.04,8.82,9.97,8.74,9.7,8.67,9.94,7.62,8.46,6.16,21.56,14.74,12.64,22.56,25.48,14.77,13.03,16.43,20.46,17.97,21.82,12-Oct,1.71,26.03
13.24958333,12.89291667,11.53708333,11.30375,11.08666667,13.01083333,10.12583333,12.87583333,15.865,14.34541667,14.17416667,11.12,6.27,9.42,8.16,8.94,7.73,6.46,8.96,9.19,7.47,11.83,16.06,19.3,14.38,14.44,12.94,18.01,13.98,15.45,23.11,20.42,16.66,13-Oct,1.71,26.03
14.64875,16.54,13.56666667,10.04166667,10.77208333,17.62125,12.54125,11.79083333,18.60666667,16.66875,15.38958333,10.57,8.31,7.76,7.66,7.68,10.1,4.14,8.3,12.13,13.09,10.89,18.82,23.73,19.48,12.44,13.92,25.55,19.82,15.92,24.49,22.37,21,14-Oct,1.71,26.03
11.37208333,16.33583333,17.14916667,13.20666667,10.55708333,23.15,17.25333333,12.47041667,21.30708333,13.6525,17.16541667,6.24,11.74,12.07,8.35,6.7,16.61,11.72,7.23,17.19,11.25,12.05,16.15,19.72,23.01,17.81,13.73,30.42,22.18,18.04,25.1,16.55,21.28,15-Oct,1.71,26.03
8.614583333,12.04708333,13.69375,18.20958333,11.67375,16.73541667,16.6575,16.6925,19.25583333,13.3375,12.88625,5.3,9.29,9.91,12.04,8.99,12.84,10.46,10.11,16.25,11.17,8.7,11.46,15.34,18.44,24.55,14.22,20.76,21.05,24.67,21.92,17.01,17.16,16-Oct,1.71,26.03
12.00166667,11.83375,11.49375,11.30416667,11.77416667,13.68541667,12.58083333,19.36416667,17.31708333,11.375,15.02833333,9.72,6.96,8.15,7.86,7.83,10.05,8.48,11.75,15.35,9.03,11.51,14.59,16.42,14.62,16.14,16.52,17.63,16.56,27.49,20.4,13.24,17.05,17-Oct,1.71,26.03
11.57291667,14.71125,12.84333333,13.20875,15.65583333,13.53166667,11.2925,21.14625,16.02,13.14333333,11.41875,8.95,5.86,7.93,6.03,7.06,9.1,7.71,12.82,14.55,7.15,10.17,15.41,22.94,17.71,19.79,22.35,17.7,15,27.97,18.06,19.35,12.86,18-Oct,1.71,26.03
10.54041667,18.38791667,16.54416667,17.755,18.56375,15.61666667,10.42125,19.09375,19.10375,11.02958333,11.49208333,6.98,7.17,10.5,11.58,12.61,7.84,6.2,12.2,11.96,8.8,8.19,14.36,26.67,25.09,23.94,25.23,24.05,14.52,23.21,24.87,13.65,14.56,19-Oct,1.71,26.03
11.22,21.74875,14.88416667,20.80375,13.6675,20.33291667,14.33583333,12.44958333,13.59916667,12.06416667,11.78208333,5.16,15.88,11.65,15.63,9.28,12.03,7.69,10.99,10.42,8.73,7.63,16.72,26.74,18.95,28.2,19.05,27.45,19.58,14.61,21.57,15.15,15.99,20-Oct,1.71,26.03
15.05,14.22458333,12.19333333,14.27958333,16.32666667,15.23875,13.04416667,12.11541667,12.88791667,12.62333333,12.7075,6.68,12.77,8.96,11.5,7.24,11.08,8.55,10.68,9.01,10.27,10.07,22.67,16.26,15.61,16.14,24.98,20.35,16.47,14,17.25,15.77,16.39,21-Oct,1.71,26.03
