yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
18.52166667,18.44083333,16.53708333,14.42,17.28625,15.05291667,15.5175,18.245,17.15541667,19.76166667,20.18083333,15.94,11.27,10.61,11.29,12.74,8.49,13.65,12.3,14.48,12.41,18.24,19.9,25.54,23.35,17.71,22.7,22.38,18.13,25.55,20.93,28.04,23.9,29-Mar,3.38,26.78
15.94916667,16.34583333,19.25833333,16.76291667,18.91416667,15.69333333,15.08458333,12.91625,16.45,11.145,17.06875,12.66,13.13,12.44,12.45,14.68,9.62,13.11,10.02,12.27,9.89,14.47,19.43,18.71,26.05,21.05,23.93,21.67,17.36,16.28,21.57,13.26,20.11,30-Mar,3.38,26.78
15.82083333,13.47791667,20.395,15.4075,21.5575,17.01291667,15.89416667,12.87291667,16.225,13.91041667,15.51541667,11.42,9.51,16.07,12.09,15.66,9.94,11.01,8.96,12.56,10.75,11.23,20.93,16.62,25.92,17.25,27.84,24.42,21.43,16.59,21.12,16.58,19.93,31-Mar,3.38,26.78
16.70583333,13.66208333,16.35666667,15.23625,25.085,21.32333333,19.43041667,13.94041667,17.78208333,13.99875,16.45583333,13.2,7.93,12.73,10.39,20.31,14.08,13.28,11.01,11.88,10.68,9.4,20.62,18.94,19.08,19.55,30.81,27.22,24.77,17.28,24.77,17.32,22.36,1-Apr,3.38,26.78
16.2925,13.82208333,17.34541667,15.98208333,20.58541667,14.51416667,17.30875,13.84416667,16.54791667,15.8025,16.905,14.74,12.1,9.98,13.98,16.14,10.71,13.05,11.36,14.51,6.99,15.3,19.02,16.08,23.9,17.64,24.23,19.67,20.43,16.46,19.45,24.01,19.6,2-Apr,3.38,26.78
17.19041667,14.43083333,20.12708333,14.16958333,15.92708333,13.785,14.4675,14.63041667,15.48,17.14875,17.65125,13.4,13.06,14.29,11.44,14.5,8.29,11.13,8.21,12.61,14.28,14.04,21.78,16.17,23.52,16.47,17.57,19.31,18.46,21.15,19.09,22.78,22.32,3-Apr,3.38,26.78
17.32458333,14.61333333,17.59,13.89833333,16.30583333,15.04,14.63166667,15.55375,15.80916667,16.57208333,12.70416667,11.8,12.68,12.39,8.81,13.46,8.22,8.57,8.91,12.07,11.98,9.79,23.76,16.73,23.63,19.44,19.8,22.45,20.94,22.43,20.95,21.71,16.59,4-Apr,3.38,26.78
18.52791667,14.915,18.28083333,15.56916667,18.02375,14.5475,19.66083333,16.33708333,14.79333333,21.15833333,12.47833333,13.53,10.63,12.32,9.18,14.79,11.58,12.53,9.91,12.41,14.45,9.72,24.24,21.17,25.19,22.05,22.61,18.04,27.66,23.29,18.7,26.41,15.47,5-Apr,3.38,26.78
19.84625,15.93333333,20.42208333,17.86833333,17.1075,13.47791667,14.41791667,17.50166667,15.48916667,17.43541667,12.75708333,16.59,9,13.78,11.1,12.45,10.82,11.36,10.92,12.08,11.83,10.31,24.19,23.6,27.16,25.1,22.84,16.34,16.28,24.1,19.31,23.61,15.13,6-Apr,3.38,26.78
19.14333333,16.93583333,14.05708333,19.13458333,17.60583333,13.48583333,13.13333333,18.57333333,14.52416667,16.53458333,12.92416667,16.59,10.59,11.37,14.88,12.28,11.64,8.82,12.11,8.97,8.7,10.99,22.33,24.05,16.95,25.87,23.23,15.38,16.97,25.15,20.36,24.07,15.24,7-Apr,3.38,26.78
